"Edad","mx_hombres_original","mx_hombres_suav","mx_mujeres_original","mx_mujeres_suav","año","Edad_num"
"0",NA,NA,NA,NA,"2010",0
"1 a 4",NA,0.000166215000813141,NA,0.000223423365180999,"2010",NA
"5 a 9",0.000166215000813141,0.000183995419091139,0.000223423365180999,0.000262489157431039,"2010",NA
"10 a 14",0.000201775837369136,0.000272332555612241,0.000301554949681078,0.000617265815127939,"2010",NA
"15 a 19",0.000449006828654446,0.000435918319631894,0.00132681913052174,0.00135604472208899,"2010",NA
"20 a 24",0.0006569722928721,0.000646154602648115,0.00243976008606415,0.00233112924613899,"2010",NA
"25 a 29",0.000832484686417798,0.000846741238341899,0.00322680852183107,0.00307605927836625,"2010",NA
"30 a 34",0.0010507667357358,0.00107388466736331,0.00356160922720353,0.00346920475214866,"2010",NA
"35 a 39",0.00133840257993634,0.00155845422827115,0.00361919650741138,0.00406261397584775,"2010",NA
"40 a 44",0.0022861933691413,0.00233684610806064,0.00500703619292835,0.00531544320426893,"2010",NA
"45 a 49",0.00338594237510429,0.00384684802673009,0.00732009691246706,0.00702121549583817,"2010",NA
"50 a 54",0.00586840833594468,0.00625882733967786,0.00873651338211909,0.00989410941961389,"2010",NA
"55 a 59",0.00952213130798461,0.0104672234885514,0.0136257179642555,0.0137846139245117,"2010",NA
"60 a 64",0.016011130821725,0.0170658150182923,0.0189916104271604,0.0200873531895108,"2010",NA
"65 a 69",0.0256641829251673,0.0261100538744067,0.0276447311771164,0.0291823453879055,"2010",NA
"70 a 74",0.0366548478763278,0.0411100196984313,0.0409106945594398,0.0438110041704076,"2010",NA
"75 a 79",0.0610110282937989,0.0675330951147098,0.0628775867746667,0.0623697557867824,"2010",NA
"80 a 84",0.104933409174003,0.135100204441026,0.0833209860262406,0.0935236522236483,"2010",NA
"85+",0.239356175855277,0.239356175855277,0.134372383870038,0.134372383870038,"2010",85
"0",NA,NA,NA,NA,"2019",0
"1 a 4",NA,1.40032527528452e-05,NA,1.87226238563807e-05,"2019",NA
"5 a 9",1.40032527528452e-05,1.52077178867136e-05,1.87226238563807e-05,2.16516281147628e-05,"2019",NA
"10 a 14",1.64121830205821e-05,2.24410357908557e-05,2.45806323731449e-05,5.10043948890483e-05,"2019",NA
"15 a 19",3.69076715991399e-05,3.52130438650753e-05,0.000109709928437619,0.000110403678570397,"2019",NA
"20 a 24",5.23192769755038e-05,5.03879709836801e-05,0.000196920474900426,0.000182350812780214,"2019",NA
"25 a 29",6.19369643763965e-05,6.37105924483948e-05,0.000240422035002597,0.000232776390268162,"2019",NA
"30 a 34",7.68755359932842e-05,7.9691011953903e-05,0.000260986660901462,0.000256698850112539,"2019",NA
"35 a 39",0.000100260535492028,0.000109896798823077,0.000268687854433558,0.000287593823455831,"2019",NA
"40 a 44",0.000152554324983918,0.000150863932130056,0.000333106955032473,0.000348675172082814,"2019",NA
"45 a 49",0.000199776935914221,0.000231982371124635,0.00044423070678241,0.000432376046103381,"2019",NA
"50 a 54",0.000343615852475767,0.000363426680787831,0.000519790476495261,0.000581665202536187,"2019",NA
"55 a 59",0.000546887253973504,0.000598887238674288,0.00078097442433089,0.000786924369866212,"2019",NA
"60 a 64",0.000906158609573593,0.000961852286452049,0.00106000820877249,0.00111288926948645,"2019",NA
"65 a 69",0.00143251099580905,0.00148166484148967,0.00149768517535597,0.0016335425859199,"2019",NA
"70 a 74",0.00210632491908637,0.00233283938156701,0.00234293437363125,0.00248739638937186,"2019",NA
"75 a 79",0.0034596822298056,0.00389208151669555,0.00362156961912835,0.00363667104984474,"2019",NA
"80 a 84",0.00611023740119467,0.00842893952935831,0.00494550915677461,0.00569801412997943,"2019",NA
"85+",0.0157168989570746,0.0157168989570746,0.00852696361403533,0.00852696361403533,"2019",85
"0",NA,NA,NA,NA,"2021",0
"1 a 4",NA,8.08098307134128e-06,NA,1.07916113259075e-05,"2021",NA
"5 a 9",8.08098307134128e-06,8.73921814070891e-06,1.07916113259075e-05,1.24364662619023e-05,"2021",NA
"10 a 14",9.39745321007654e-06,1.28869467797963e-05,1.40813211978972e-05,2.93071924174408e-05,"2021",NA
"15 a 19",2.11824040579711e-05,2.01323097961202e-05,6.30486447285178e-05,6.32304553122112e-05,"2021",NA
"20 a 24",2.98170721203131e-05,2.85893935297611e-05,0.000112561400010219,0.000103538600251899,"2021",NA
"25 a 29",3.47687044109992e-05,3.58598757331524e-05,0.000135005756016959,0.000131193200656533,"2021",NA
"30 a 34",4.29938506681449e-05,4.47100074313096e-05,0.00014601244594242,0.000143925153219051,"2021",NA
"35 a 39",5.63674672147848e-05,6.09841641485101e-05,0.000150757257697774,0.000159723790473007,"2021",NA
"40 a 44",8.35911745626006e-05,8.21573606053679e-05,0.000182401667778828,0.000190497370454474,"2021",NA
"45 a 49",0.000106513440038718,0.000124332393181599,0.000238333185886819,0.000232793911911024,"2021",NA
"50 a 54",0.000182892564943478,0.000193081571484128,0.000277646882067424,0.000309897464468557,"2021",NA
"55 a 59",0.000289838709470188,0.000317136882420491,0.000413712325451427,0.000416527801900147,"2021",NA
"60 a 64",0.000478679372847809,0.000507639850047382,0.00055822419818159,0.000585148854895967,"2021",NA
"65 a 69",0.000754401467824149,0.000783173393400235,0.000783510041054884,0.000860884069253966,"2021",NA
"70 a 74",0.00111643933952875,0.00123307102526875,0.00124091796852542,0.00131499970074526,"2021",NA
"75 a 79",0.00182837226845336,0.00206434454415872,0.00192057109265546,0.00193391456280924,"2021",NA
"80 a 84",0.00324822202449405,0.00455260832868194,0.00264025462724684,0.00306040947446916,"2021",NA
"85+",0.00858123069309842,0.00858123069309842,0.00462040270350517,0.00462040270350517,"2021",85
