"Edad","año","mx","sexo"
"0","2010",NA,"Hombres"
"1 a 4","2010",0.000166215000813141,"Hombres"
"5 a 9","2010",0.000183995419091139,"Hombres"
"10 a 14","2010",0.000272332555612241,"Hombres"
"15 a 19","2010",0.000435918319631894,"Hombres"
"20 a 24","2010",0.000646154602648115,"Hombres"
"25 a 29","2010",0.000846741238341899,"Hombres"
"30 a 34","2010",0.00107388466736331,"Hombres"
"35 a 39","2010",0.00155845422827115,"Hombres"
"40 a 44","2010",0.00233684610806064,"Hombres"
"45 a 49","2010",0.00384684802673009,"Hombres"
"50 a 54","2010",0.00625882733967786,"Hombres"
"55 a 59","2010",0.0104672234885514,"Hombres"
"60 a 64","2010",0.0170658150182923,"Hombres"
"65 a 69","2010",0.0261100538744067,"Hombres"
"70 a 74","2010",0.0411100196984313,"Hombres"
"75 a 79","2010",0.0675330951147098,"Hombres"
"80 a 84","2010",0.135100204441026,"Hombres"
"85+","2010",0.239356175855277,"Hombres"
"0","2019",NA,"Hombres"
"1 a 4","2019",1.40032527528452e-05,"Hombres"
"5 a 9","2019",1.52077178867136e-05,"Hombres"
"10 a 14","2019",2.24410357908557e-05,"Hombres"
"15 a 19","2019",3.52130438650753e-05,"Hombres"
"20 a 24","2019",5.03879709836801e-05,"Hombres"
"25 a 29","2019",6.37105924483948e-05,"Hombres"
"30 a 34","2019",7.9691011953903e-05,"Hombres"
"35 a 39","2019",0.000109896798823077,"Hombres"
"40 a 44","2019",0.000150863932130056,"Hombres"
"45 a 49","2019",0.000231982371124635,"Hombres"
"50 a 54","2019",0.000363426680787831,"Hombres"
"55 a 59","2019",0.000598887238674288,"Hombres"
"60 a 64","2019",0.000961852286452049,"Hombres"
"65 a 69","2019",0.00148166484148967,"Hombres"
"70 a 74","2019",0.00233283938156701,"Hombres"
"75 a 79","2019",0.00389208151669555,"Hombres"
"80 a 84","2019",0.00842893952935831,"Hombres"
"85+","2019",0.0157168989570746,"Hombres"
"0","2021",NA,"Hombres"
"1 a 4","2021",8.08098307134128e-06,"Hombres"
"5 a 9","2021",8.73921814070891e-06,"Hombres"
"10 a 14","2021",1.28869467797963e-05,"Hombres"
"15 a 19","2021",2.01323097961202e-05,"Hombres"
"20 a 24","2021",2.85893935297611e-05,"Hombres"
"25 a 29","2021",3.58598757331524e-05,"Hombres"
"30 a 34","2021",4.47100074313096e-05,"Hombres"
"35 a 39","2021",6.09841641485101e-05,"Hombres"
"40 a 44","2021",8.21573606053679e-05,"Hombres"
"45 a 49","2021",0.000124332393181599,"Hombres"
"50 a 54","2021",0.000193081571484128,"Hombres"
"55 a 59","2021",0.000317136882420491,"Hombres"
"60 a 64","2021",0.000507639850047382,"Hombres"
"65 a 69","2021",0.000783173393400235,"Hombres"
"70 a 74","2021",0.00123307102526875,"Hombres"
"75 a 79","2021",0.00206434454415872,"Hombres"
"80 a 84","2021",0.00455260832868194,"Hombres"
"85+","2021",0.00858123069309842,"Hombres"
"0","2010",NA,"Mujeres"
"1 a 4","2010",0.000223423365180999,"Mujeres"
"5 a 9","2010",0.000262489157431039,"Mujeres"
"10 a 14","2010",0.000617265815127939,"Mujeres"
"15 a 19","2010",0.00135604472208899,"Mujeres"
"20 a 24","2010",0.00233112924613899,"Mujeres"
"25 a 29","2010",0.00307605927836625,"Mujeres"
"30 a 34","2010",0.00346920475214866,"Mujeres"
"35 a 39","2010",0.00406261397584775,"Mujeres"
"40 a 44","2010",0.00531544320426893,"Mujeres"
"45 a 49","2010",0.00702121549583817,"Mujeres"
"50 a 54","2010",0.00989410941961389,"Mujeres"
"55 a 59","2010",0.0137846139245117,"Mujeres"
