"age","nqx","ex0","nqx_i","ex_i","sex"
4,1.61,0.997705860666531,98610.5738465541,1.37257387894543,"Hombres"
5,2.5,0.998796079436073,98384.3474503968,1.37004585371832,"Hombres"
5,2.5,0.998345891846563,98265.9005113328,1.3721437325439,"Hombres"
5,2.5,0.995520104625924,98103.3580840921,1.36616178120103,"Hombres"
5,2.5,0.992828847620484,97663.8653040299,1.27735046432962,"Hombres"
5,2.5,0.990778825564321,96963.5028439621,1.05321569373587,"Hombres"
5,2.5,0.989433992536482,96069.3854703434,0.808047534496687,"Hombres"
5,2.5,0.986819429425497,95054.3156264482,0.601380898994798,"Hombres"
5,2.5,0.981729525036742,93801.4455109227,0.422375844459005,"Hombres"
5,2.5,0.975334942604477,92087.648549198,0.288927536241928,"Hombres"
5,2.5,0.965103611620069,89816.3014123132,0.181075924504196,"Hombres"
5,2.5,0.947033370344144,86682.0368753802,0.126024617548069,"Hombres"
5,2.5,0.927717471684268,82090.7815303866,0.0844381795702525,"Hombres"
5,2.5,0.900143477045008,76157.0522899559,0.0523674175727074,"Hombres"
5,2.5,0.856211638920668,68552.2738497794,0.0357308084516106,"Hombres"
5,2.5,0.791148135676954,58695.254744658,0.0190645411880155,"Hombres"
5,2.5,0.686577868071759,46436.6413643201,0.00545153313935209,"Hombres"
5,NA,0,31882.3702283277,0.00466581212232153,"Hombres"
4,1.5,0.997985691031351,98883.1143954063,0.231944849769604,"Mujeres"
5,2.5,0.998986640986012,98683.9332512317,0.229381792505251,"Mujeres"
5,2.5,0.99887062109728,98583.9309979358,0.223593650556126,"Mujeres"
5,2.5,0.99803245179982,98472.5923861195,0.220544025490881,"Mujeres"
5,2.5,0.997473527930022,98278.8428142032,0.195065815632866,"Mujeres"
5,2.5,0.996717005692846,98030.5440627633,0.162802113780295,"Mujeres"
5,2.5,0.995936279137935,97708.7103446781,0.138976379611506,"Mujeres"
5,2.5,0.994465292020148,97311.6494200449,0.127463677651356,"Mujeres"
5,2.5,0.991681743426703,96773.0578574672,0.111231269372745,"Mujeres"
5,2.5,0.986747319168038,95968.0747328263,0.0884606196351712,"Mujeres"
5,2.5,0.980080134523074,94696.2404683343,0.0798220968570504,"Mujeres"
5,2.5,0.967058062898725,92809.9040970345,0.0653491985943511,"Mujeres"
5,2.5,0.951918169243152,89752.5660738946,0.0615925685193659,"Mujeres"
5,2.5,0.929038501821369,85437.0983819368,0.0482991133340569,"Mujeres"
5,2.5,0.894366805268188,79374.3538807195,0.0372232861661992,"Mujeres"
5,2.5,0.83139297855214,70989.7873005257,0.0277396019349236,"Mujeres"
5,2.5,0.73694472752643,59020.4107105669,-0.000547079100551073,"Mujeres"
5,NA,0,43494.7804895967,-0.00151290649614033,"Mujeres"
