"Edad","Edad_plot","Hombres","Mujeres"
"0",0,1.36560584109961,0.233723917437189
"1-4",2.5,1.37257387894543,0.231944849769604
"5-9",7.5,1.37004585371832,0.229381792505251
"10-14",12.5,1.3721437325439,0.223593650556126
"15-19",17.5,1.36616178120103,0.220544025490881
"20-24",22.5,1.27735046432962,0.195065815632866
"25-29",27.5,1.05321569373587,0.162802113780295
"30-34",32.5,0.808047534496687,0.138976379611506
"35-39",37.5,0.601380898994798,0.127463677651356
"40-44",42.5,0.422375844459005,0.111231269372745
"45-49",47.5,0.288927536241928,0.0884606196351712
"50-54",52.5,0.181075924504196,0.0798220968570504
"55-59",57.5,0.126024617548069,0.0653491985943511
"60-64",62.5,0.0844381795702525,0.0615925685193659
"65-69",67.5,0.0523674175727074,0.0482991133340569
"70-74",72.5,0.0357308084516106,0.0372232861661992
"75-79",77.5,0.0190645411880155,0.0277396019349236
"80-84",82.5,0.00545153313935209,-0.000547079100551073
"85+",87.5,0.00466581212232153,-0.00151290649614033
