"edad_inicio","n","grupo_edad","nqx","nqx_sin_homicidios","Sexo"
0,1,"0",0.013946,0.986105738465541,"Hombres"
1,4,"1-4",0.00240399999999996,0.997705860666531,"Hombres"
5,5,"5-9",0.00123399999999996,0.998796079436073,"Hombres"
10,5,"10-14",0.00168500000000005,0.998345891846563,"Hombres"
15,5,"15-19",0.00614199999999998,0.995520104625924,"Hombres"
20,5,"20-24",0.011511,0.992828847620484,"Hombres"
25,5,"25-29",0.01444,0.990778825564321,"Hombres"
30,5,"30-34",0.01549,0.989433992536482,"Hombres"
35,5,"35-39",0.01766,0.986819429425497,"Hombres"
40,5,"40-44",0.022155,0.981729525036742,"Hombres"
45,5,"45-49",0.027981,0.975334942604477,"Hombres"
50,5,"50-54",0.037038,0.965103611620069,"Hombres"
55,5,"55-59",0.054463,0.947033370344144,"Hombres"
60,5,"60-64",0.073456,0.927717471684268,"Hombres"
65,5,"65-69",0.100433,0.900143477045008,"Hombres"
70,5,"70-74",0.144342,0.856211638920668,"Hombres"
75,5,"75-79",0.209183,0.791148135676954,"Hombres"
80,5,"80-84",0.313522,0.686577868071759,"Hombres"
85,5,"85+",1,0,"Hombres"
0,1,"0",0.011206,0.988831143954063,"Mujeres"
1,4,"1-4",0.00209400000000004,0.997985691031351,"Mujeres"
5,5,"5-9",0.00106399999999995,0.998986640986012,"Mujeres"
10,5,"10-14",0.00121000000000004,0.99887062109728,"Mujeres"
15,5,"15-19",0.00231599999999998,0.99803245179982,"Mujeres"
20,5,"20-24",0.00303100000000001,0.997473527930022,"Mujeres"
25,5,"25-29",0.003687,0.996717005692846,"Mujeres"
30,5,"30-34",0.00443800000000005,0.995936279137935,"Mujeres"
35,5,"35-39",0.00591699999999995,0.994465292020148,"Mujeres"
40,5,"40-44",0.00878900000000005,0.991681743426703,"Mujeres"
45,5,"45-49",0.013494,0.986747319168038,"Mujeres"
50,5,"50-54",0.020159,0.980080134523074,"Mujeres"
55,5,"55-59",0.033219,0.967058062898725,"Mujeres"
60,5,"60-64",0.048168,0.951918169243152,"Mujeres"
65,5,"65-69",0.071137,0.929038501821369,"Mujeres"
70,5,"70-74",0.105922,0.894366805268188,"Mujeres"
75,5,"75-79",0.168738,0.83139297855214,"Mujeres"
80,5,"80-84",0.263143,0.73694472752643,"Mujeres"
85,5,"85+",1,0,"Mujeres"
