"Edad","n","nDx","nDxi","lx","nqx_con","ex_con","nqx_sin","ex_sin","diff"
"0",1,803,3,1e+05,0.013946,73.03,0.013894,74.4,1.3656
"1-4",4,153,7,98605,0.002404,73.07,0.002294,74.44,1.3726
"5-9",5,82,2,98368,0.001234,69.24,0.001204,70.61,1.37
"10-14",5,109,2,98247,0.001685,64.32,0.001654,65.69,1.3721
"15-19",5,483,131,98081,0.006142,59.43,0.00448,60.8,1.3662
"20-24",5,851,322,97479,0.011511,54.78,0.007171,56.06,1.2774
"25-29",5,1008,366,96357,0.01444,50.39,0.009221,51.44,1.0532
"30-34",5,1042,333,94965,0.01549,46.09,0.010566,46.9,0.808
"35-39",5,1030,263,93494,0.01766,41.77,0.013181,42.37,0.6014
"40-44",5,1198,212,91843,0.022155,37.48,0.01827,37.9,0.4224
"45-49",5,1475,177,89809,0.027981,33.27,0.024665,33.56,0.2889
"50-54",5,1546,91,87296,0.037038,29.16,0.034896,29.34,0.1811
"55-59",5,1877,53,84062,0.054463,25.18,0.052967,25.31,0.126
"60-64",5,2170,36,79484,0.073456,21.49,0.072283,21.57,0.0844
"65-69",5,2313,14,73646,0.100433,18,0.099857,18.05,0.0524
"70-74",5,2651,11,66249,0.144342,14.73,0.143788,14.77,0.0357
"75-79",5,2803,5,56687,0.209183,11.79,0.208852,11.81,0.0191
"80-84",5,2586,1,44829,0.313522,9.24,0.313422,9.25,0.0055
"85+",5,4166,1,30774,1,7.32,1,7.32,0.0047
