"Edad","n","nDx","nDxi","lx","nqx_con","ex_con","nqx_sin","ex_sin","diff"
"0",1,600,2,1e+05,0.011206,79.37,0.011169,79.6,0.2337
"1-4",4,105,4,98879,0.002094,79.27,0.002014,79.5,0.2319
"5-9",5,63,3,98672,0.001064,75.43,0.001013,75.66,0.2294
"10-14",5,75,5,98567,0.00121,70.51,0.001129,70.73,0.2236
"15-19",5,166,25,98448,0.002316,65.59,0.001968,65.81,0.2205
"20-24",5,222,37,98220,0.003031,60.74,0.002526,60.94,0.1951
"25-29",5,246,27,97922,0.003687,55.92,0.003283,56.08,0.1628
"30-34",5,284,24,97561,0.004438,51.12,0.004064,51.26,0.139
"35-39",5,355,23,97128,0.005917,46.33,0.005535,46.46,0.1275
"40-44",5,502,27,96554,0.008789,41.59,0.008318,41.7,0.1112
"45-49",5,611,11,95705,0.013494,36.94,0.013253,37.03,0.0885
"50-54",5,918,11,94413,0.020159,32.41,0.01992,32.49,0.0798
"55-59",5,1179,10,92510,0.033219,28.03,0.032942,28.1,0.0653
"60-64",5,1636,3,89437,0.048168,23.9,0.048082,23.96,0.0616
"65-69",5,1953,5,85129,0.071137,19.99,0.070961,20.04,0.0483
"70-74",5,2080,6,79073,0.105922,16.33,0.105633,16.37,0.0372
"75-79",5,2346,2,70698,0.168738,12.96,0.168607,12.99,0.0277
"80-84",5,2565,1,58768,0.263143,10.09,0.263055,10.09,-5e-04
"85+",5,5518,4,43304,1,7.8,1,7.8,-0.0015
