"x","n","mx","qx","ax","lx","dx","Lx","Tx","ex","edad","age","año","sexo"
1,1,0.016622,0.016374,0.09,1e+05,1637,98509,7699563,77,"0","0",2019,"Hombre"
2,4,0.001662,0.006627,2,98363,652,392147,7601053,77.28,"1 a 4","1 a 4",2019,"Hombre"
3,5,0.000166,0.000831,2.5,97711,81,488351,7208907,73.78,"5 a 9","5 a 9",2019,"Hombre"
4,5,0.000195,0.000974,2.5,97630,95,487911,6720555,68.84,"10 a 14","10 a 14",2019,"Hombre"
5,5,0.000438,0.002188,2.5,97535,213,487139,6232645,63.9,"15 a 19","15 a 19",2019,"Hombre"
6,5,0.000621,0.0031,2.5,97321,302,485852,5745505,59.04,"20 a 24","20 a 24",2019,"Hombre"
7,5,0.000735,0.003669,2.5,97019,356,484207,5259654,54.21,"25 a 29","25 a 29",2019,"Hombre"
8,5,0.000912,0.004552,2.5,96663,440,482217,4775446,49.4,"30 a 34","30 a 34",2019,"Hombre"
9,5,0.00119,0.005933,2.5,96223,571,479690,4293229,44.62,"35 a 39","35 a 39",2019,"Hombre"
10,5,0.001811,0.009013,2.5,95653,862,476108,3813539,39.87,"40 a 44","40 a 44",2019,"Hombre"
11,5,0.002371,0.011787,2.5,94790,1117,471159,3337431,35.21,"45 a 49","45 a 49",2019,"Hombre"
12,5,0.004079,0.020187,2.5,93673,1891,463639,2866272,30.6,"50 a 54","50 a 54",2019,"Hombre"
13,5,0.006491,0.031939,2.5,91782,2931,451583,2402633,26.18,"55 a 59","55 a 59",2019,"Hombre"
14,5,0.010756,0.052371,2.5,88851,4653,432621,1951051,21.96,"60 a 64","60 a 64",2019,"Hombre"
15,5,0.017004,0.081551,2.5,84198,6866,403822,1518430,18.03,"65 a 69","65 a 69",2019,"Hombre"
16,5,0.025002,0.117654,2.5,77331,9098,363910,1114608,14.41,"70 a 74","70 a 74",2019,"Hombre"
17,5,0.041066,0.186211,2.5,68233,12706,309400,750697,11,"75 a 79","75 a 79",2019,"Hombre"
18,5,0.072527,0.306975,2.5,55527,17045,235022,441297,7.95,"80 a 84","80 a 84",2019,"Hombre"
19,NA,0.186556,1,5.36,38482,38482,206275,206275,5.36,"85+","85+",2019,"Hombre"
