"x","n","mx","qx","ax","lx","dx","Lx","Tx","ex","edad","age","año","sexo"
1,1,0.022342,0.021909,0.12,1e+05,2191,98062,7431533,74.32,"0","0",2019,"Mujer"
2,4,0.002234,0.008897,2,97809,870,389496,7333471,74.98,"1 a 4","1 a 4",2019,"Mujer"
3,5,0.000223,0.001116,2.5,96939,108,484424,6943975,71.63,"5 a 9","5 a 9",2019,"Mujer"
4,5,0.000293,0.001466,2.5,96831,142,483798,6459551,66.71,"10 a 14","10 a 14",2019,"Mujer"
5,5,0.001309,0.006525,2.5,96689,631,481866,5975753,61.8,"15 a 19","15 a 19",2019,"Mujer"
6,5,0.00235,0.011681,2.5,96058,1122,477484,5493887,57.19,"20 a 24","20 a 24",2019,"Mujer"
7,5,0.002869,0.014243,2.5,94936,1352,471298,5016403,52.84,"25 a 29","25 a 29",2019,"Mujer"
8,5,0.003114,0.015452,2.5,93584,1446,464303,4545104,48.57,"30 a 34","30 a 34",2019,"Mujer"
9,5,0.003206,0.015904,2.5,92138,1465,457024,4080801,44.29,"35 a 39","35 a 39",2019,"Mujer"
10,5,0.003975,0.01968,2.5,90672,1784,448900,3623777,39.97,"40 a 44","40 a 44",2019,"Mujer"
11,5,0.005301,0.026159,2.5,88888,2325,438626,3174877,35.72,"45 a 49","45 a 49",2019,"Mujer"
12,5,0.006203,0.030541,2.5,86563,2644,426204,2736251,31.61,"50 a 54","50 a 54",2019,"Mujer"
13,5,0.00932,0.045537,2.5,83919,3821,410041,2310047,27.53,"55 a 59","55 a 59",2019,"Mujer"
14,5,0.012649,0.061308,2.5,80097,4911,388211,1900007,23.72,"60 a 64","60 a 64",2019,"Mujer"
15,5,0.017872,0.08554,2.5,75187,6431,359855,1511796,20.11,"65 a 69","65 a 69",2019,"Mujer"
16,5,0.027959,0.130662,2.5,68755,8984,321317,1151941,16.75,"70 a 74","70 a 74",2019,"Mujer"
17,5,0.043217,0.195017,2.5,59772,11656,269717,830623,13.9,"75 a 79","75 a 79",2019,"Mujer"
18,5,0.059016,0.257143,2.5,48115,12372,209645,560906,11.66,"80 a 84","80 a 84",2019,"Mujer"
19,NA,0.101755,1,9.83,35743,35743,351262,351262,9.83,"85+","85+",2019,"Mujer"
